voice,name,type,tuning,FB,ALG,OP1_AM,OP1_VIB,OP1_EGT,OP1_KSR,OP1_MULTI,OP1_KSL,OP1_TL,OP1_AR,OP1_DR,OP1_SL,OP1_RR,OP1_WS,OP2_AM,OP2_VIB,OP2_EGT,OP2_KSR,OP2_MULTI,OP2_KSL,OP2_TL,OP2_AR,OP2_DR,OP2_SL,OP2_RR,OP2_WS
0,OPLL Violin,2OP,3,7,0,0,1,1,1,1,0,30,13,0,0,0,0,0,1,1,0,1,0,0,7,8,1,7,1
1,OPLL Guitar,2OP,3,5,0,0,0,0,1,3,0,26,13,8,2,3,1,0,1,0,0,1,0,0,15,7,1,3,0
2,OPLL Piano,2OP,3,0,0,0,0,0,1,3,1,25,15,2,1,1,0,0,0,0,0,1,0,0,12,4,2,3,0
3,OPLL Flute,2OP,3,7,0,0,0,1,1,1,0,14,10,8,7,0,0,0,1,1,0,1,0,0,6,4,2,7,0
4,OPLL Clarinet,2OP,3,6,0,0,0,1,1,2,0,30,14,0,0,0,0,0,0,1,0,1,0,0,7,6,2,8,0
5,OPLL Oboe,2OP,3,5,0,0,0,1,1,1,0,22,14,0,0,0,0,0,0,1,0,2,0,0,7,1,1,8,0
6,OPLL Trumpet,2OP,3,7,0,0,0,1,0,1,0,29,8,2,1,0,0,0,1,1,0,1,0,0,8,1,0,7,0
7,OPLL Organ,2OP,3,4,0,0,0,1,0,3,0,45,10,2,0,0,0,0,0,1,0,1,0,0,7,2,0,7,1
8,OPLL Horn,2OP,3,6,0,0,1,1,0,1,0,27,6,4,1,0,0,0,1,1,0,1,0,0,6,5,1,7,0
9,OPLL Synthesizer,2OP,3,0,0,0,1,0,0,1,0,11,8,5,7,1,1,0,1,1,0,1,0,0,15,7,0,7,1
10,OPLL Harpsichord,2OP,3,1,0,0,0,0,1,3,1,3,15,10,1,0,0,0,0,0,0,1,0,0,14,4,0,4,1
11,OPLL Vibraphone,2OP,3,7,0,0,0,0,1,7,0,36,15,8,2,2,0,1,1,0,0,1,0,0,15,8,1,2,0
12,OPLL Synth. Bass,2OP,3,5,0,0,1,1,0,1,0,12,12,2,2,0,0,0,1,0,1,0,0,0,15,5,4,2,0
13,OPLL Acoust.Bass,2OP,3,3,0,0,0,0,0,1,2,21,12,9,0,3,0,0,0,0,0,1,0,0,9,5,0,2,0
14,OPLL Elec.Guitar,2OP,3,3,0,0,1,1,0,1,1,9,15,1,4,0,0,0,1,0,0,1,0,0,14,4,1,3,0
15,OPLL BD1,2OP,0,7,0,0,0,1,0,8,0,3,15,11,15,15,0,0,0,1,0,1,0,0,15,6,15,15,5
16,OPLL SD1,2OP,0,6,0,0,0,0,0,6,3,2,6,3,14,3,3,0,0,0,0,2,0,0,14,8,15,12,6
17,OPLL TOM1,2OP,0,6,0,1,1,0,1,2,0,9,7,8,3,12,5,0,1,0,0,3,0,0,15,15,0,6,2
18,OPLL CLOSED HH,2OP,0,6,0,0,0,1,1,15,3,0,15,1,0,3,2,1,1,0,0,15,0,0,13,9,11,8,0
19,OPLL CYM,2OP,0,4,0,0,1,1,0,7,0,26,14,8,15,5,0,0,1,1,1,8,0,12,15,7,15,10,6
