bank,voice,name,ALG,FB,LFO_SPEED,LFO_DELAY,LFO_PMD,LFO_AMD,LFO_SYNC,LFO_WAVE,TRANSPOSE,PITCH_EG_R1,PITCH_EG_R2,PITCH_EG_R3,PITCH_EG_R4,PITCH_EG_L1,PITCH_EG_L2,PITCH_EG_L3,PITCH_EG_L4,OP1_AR,OP1_DR,OP1_SR,OP1_RR,OP1_SL,OP1_TL,OP1_KSL,OP1_MULTI,OP1_DT,OP1_RS,OP1_AM,OP1_VIB,OP1_EGT,OP1_KSR,OP1_WS,OP2_AR,OP2_DR,OP2_SR,OP2_RR,OP2_SL,OP2_TL,OP2_KSL,OP2_MULTI,OP2_DT,OP2_RS,OP2_AM,OP2_VIB,OP2_EGT,OP2_KSR,OP2_WS,OP3_AR,OP3_DR,OP3_SR,OP3_RR,OP3_SL,OP3_TL,OP3_KSL,OP3_MULTI,OP3_DT,OP3_RS,OP3_AM,OP3_VIB,OP3_EGT,OP3_KSR,OP3_WS,OP4_AR,OP4_DR,OP4_SR,OP4_RR,OP4_SL,OP4_TL,OP4_KSL,OP4_MULTI,OP4_DT,OP4_RS,OP4_AM,OP4_VIB,OP4_EGT,OP4_KSR,OP4_WS,OP5_AR,OP5_DR,OP5_SR,OP5_RR,OP5_SL,OP5_TL,OP5_KSL,OP5_MULTI,OP5_DT,OP5_RS,OP5_AM,OP5_VIB,OP5_EGT,OP5_KSR,OP5_WS,OP6_AR,OP6_DR,OP6_SR,OP6_RR,OP6_SL,OP6_TL,OP6_KSL,OP6_MULTI,OP6_DT,OP6_RS,OP6_AM,OP6_VIB,OP6_EGT,OP6_KSR,OP6_WS
A,1,MellowHorn,1,15,30,0,0,0,12,32,77,99,95,95,99,50,48,50,50,65,44,22,50,99,0,0,0,39,28,39,1,56,0,86,58,53,43,50,99,0,0,0,0,0,8,0,48,8,70,57,25,22,50,99,80,80,0,0,0,0,0,56,4,80,53,59,19,71,99,90,90,0,0,0,0,0,58,16,99,50,34,15,60,85,86,86,0,0,0,0,0,58,14,95,54,35,19,60,99,97,94,0,0,0,0,0,58,4,97
A,2,SilvaBrass,17,14,40,0,0,0,12,32,83,45,67,95,60,53,50,50,46,99,56,20,70,99,80,66,0,0,0,0,0,62,16,74,43,51,46,50,98,86,48,0,36,0,20,0,51,16,67,56,53,22,50,53,80,77,0,0,0,13,0,60,8,94,50,46,44,56,75,92,89,0,37,0,13,0,60,12,90,57,84,17,56,91,86,91,0,0,0,6,0,60,12,73,51,30,19,60,90,99,96,0,0,0,0,0,60,12,99
A,3,ReverbBras,18,15,28,26,3,0,0,41,82,63,52,50,99,46,56,50,50,48,27,27,46,97,94,86,0,34,3,0,6,59,12,84,57,52,0,57,99,95,32,0,97,0,0,0,74,4,98,58,52,11,57,99,95,33,0,97,0,0,0,58,12,97,50,75,10,0,99,96,36,0,41,6,1,15,90,8,85,50,75,10,8,99,97,38,0,43,7,0,0,63,8,84,50,75,10,42,99,95,35,0,27,0,0,0,26,12,99
A,4,Tuba,17,15,35,0,0,0,24,16,84,94,67,95,60,53,50,50,50,99,49,20,70,99,0,0,0,0,0,0,0,63,8,99,45,50,22,43,98,61,62,0,0,0,0,0,48,8,75,66,92,22,50,53,65,62,0,0,0,0,0,56,8,95,46,35,17,48,99,86,91,0,0,0,0,0,50,16,80,45,34,50,43,99,97,95,0,0,0,0,0,66,12,84,57,24,19,47,99,86,92,0,0,0,0,0,58,0,99
A,5,Trombone,17,15,28,0,0,0,12,49,84,94,35,35,60,55,40,50,50,77,53,19,70,99,45,42,0,0,0,0,0,63,8,87,48,53,24,50,98,64,64,0,0,0,0,0,48,8,71,66,92,22,50,53,65,62,0,0,0,0,0,56,4,93,46,35,17,56,99,88,89,0,0,0,0,0,114,12,82,45,34,50,64,99,97,95,0,0,0,0,0,114,8,83,57,24,19,54,99,86,92,0,0,0,0,0,58,12,99
A,6,HardTrumps,16,14,38,0,1,0,24,48,72,99,31,99,0,45,50,50,50,60,39,20,60,86,92,88,0,48,0,0,3,26,8,0,83,99,45,53,99,99,99,0,0,0,0,0,60,8,0,99,99,58,46,99,88,81,0,0,0,0,0,57,28,0,87,99,58,46,99,88,0,0,46,0,26,0,57,28,83,60,39,13,60,86,92,90,0,48,0,0,3,57,16,92,60,51,34,65,99,98,97,0,0,0,0,0,59,8,99
A,7,Trumpet  A,17,7,48,50,3,0,24,32,84,94,69,99,99,49,52,50,50,90,44,22,50,99,0,0,0,39,0,0,1,116,28,52,80,47,22,50,99,0,0,0,45,59,10,0,4,20,85,55,25,22,50,99,80,80,0,0,0,0,0,59,8,65,50,57,15,65,88,93,92,0,0,0,1,0,58,9,86,48,55,15,60,99,0,0,0,0,0,10,0,58,8,65,61,25,19,68,99,90,90,0,0,0,0,0,58,16,99
A,8,SilvaTrmpt,17,15,43,0,0,0,24,32,83,99,99,95,60,43,50,50,47,52,55,22,50,98,61,62,0,0,0,0,0,60,12,68,57,55,26,50,98,67,62,0,0,0,0,0,60,16,91,72,96,25,56,78,90,60,0,0,0,0,0,60,20,75,81,41,26,56,50,90,88,0,41,0,5,0,59,8,90,57,84,17,56,91,86,91,0,0,0,0,0,59,12,73,61,70,19,60,92,99,92,0,0,0,0,0,59,12,99
A,9,Trumpet  B,17,7,33,0,0,0,24,33,84,94,67,95,99,49,51,50,50,75,42,22,50,99,84,71,0,39,0,0,1,60,2,78,85,52,19,50,97,48,0,0,39,0,0,0,52,2,80,55,25,22,50,99,80,80,0,0,0,0,0,59,15,66,55,31,15,65,99,99,99,0,0,0,1,0,58,6,79,48,55,15,60,99,0,0,0,0,0,10,0,58,14,65,61,25,19,68,99,90,90,0,0,0,0,0,58,11,99
A,10,FrenchHorn,3,14,35,0,0,0,12,32,70,94,67,95,60,45,53,51,50,79,49,57,71,99,85,81,0,39,0,0,3,56,8,65,48,47,22,71,99,99,99,0,39,0,26,3,56,12,85,53,28,44,59,99,97,96,0,0,0,0,0,58,12,99,79,49,57,71,99,85,0,0,39,0,0,3,56,8,65,48,47,22,71,99,99,99,0,39,0,36,3,56,8,77,53,28,44,59,99,97,96,0,0,0,0,0,58,12,99
