bank,voice,name,ALG,FB,LFO_SPEED,LFO_DELAY,LFO_PMD,LFO_AMD,LFO_SYNC,LFO_WAVE,TRANSPOSE,PITCH_EG_R1,PITCH_EG_R2,PITCH_EG_R3,PITCH_EG_R4,PITCH_EG_L1,PITCH_EG_L2,PITCH_EG_L3,PITCH_EG_L4,OP1_AR,OP1_DR,OP1_SR,OP1_RR,OP1_SL,OP1_TL,OP1_KSL,OP1_MULTI,OP1_DT,OP1_RS,OP1_AM,OP1_VIB,OP1_EGT,OP1_KSR,OP1_WS,OP2_AR,OP2_DR,OP2_SR,OP2_RR,OP2_SL,OP2_TL,OP2_KSL,OP2_MULTI,OP2_DT,OP2_RS,OP2_AM,OP2_VIB,OP2_EGT,OP2_KSR,OP2_WS,OP3_AR,OP3_DR,OP3_SR,OP3_RR,OP3_SL,OP3_TL,OP3_KSL,OP3_MULTI,OP3_DT,OP3_RS,OP3_AM,OP3_VIB,OP3_EGT,OP3_KSR,OP3_WS,OP4_AR,OP4_DR,OP4_SR,OP4_RR,OP4_SL,OP4_TL,OP4_KSL,OP4_MULTI,OP4_DT,OP4_RS,OP4_AM,OP4_VIB,OP4_EGT,OP4_KSR,OP4_WS,OP5_AR,OP5_DR,OP5_SR,OP5_RR,OP5_SL,OP5_TL,OP5_KSL,OP5_MULTI,OP5_DT,OP5_RS,OP5_AM,OP5_VIB,OP5_EGT,OP5_KSR,OP5_WS,OP6_AR,OP6_DR,OP6_SR,OP6_RR,OP6_SL,OP6_TL,OP6_KSL,OP6_MULTI,OP6_DT,OP6_RS,OP6_AM,OP6_VIB,OP6_EGT,OP6_KSR,OP6_WS
B,33,Piano   1,8,15,29,0,0,0,24,24,80,99,70,99,99,50,51,50,50,79,25,11,34,99,93,0,60,0,0,81,7,78,0,73,72,10,13,42,99,88,0,87,34,8,9,3,89,8,83,78,73,51,55,99,58,0,0,51,12,2,15,49,4,88,63,21,7,32,99,79,0,0,30,0,0,0,71,20,99,66,10,31,33,99,93,0,0,32,1,9,3,3,4,77,64,21,7,33,99,79,0,0,30,0,0,0,31,16,99
B,34,Piano   2,8,6,29,0,0,0,24,24,80,99,70,99,99,50,51,50,50,79,25,11,34,99,80,0,60,0,0,26,3,79,8,85,72,10,13,42,99,88,0,87,34,8,15,3,118,4,84,90,71,57,55,99,58,0,0,51,12,2,15,49,4,86,63,21,7,31,99,80,0,0,30,0,0,0,63,12,99,65,22,22,33,97,93,0,0,29,0,35,3,47,4,84,64,21,10,33,99,79,0,0,30,0,0,0,63,16,99
B,35,KnockRoad,12,14,10,33,0,0,24,56,75,94,67,95,60,50,50,50,50,69,27,18,50,98,94,60,91,36,0,20,0,86,16,88,69,37,14,99,99,65,0,90,32,0,32,0,86,12,49,89,64,51,89,99,51,0,62,63,10,0,0,38,16,99,80,28,11,55,99,98,0,0,46,0,0,12,53,12,99,55,60,17,65,99,67,0,86,51,4,0,0,62,20,99,96,54,18,47,94,72,0,0,60,26,0,0,63,16,96
B,36,RubbaRoad,6,0,17,0,0,0,24,40,82,99,99,99,99,50,50,50,50,99,65,52,59,99,99,0,0,39,0,7,0,58,28,73,92,65,25,49,99,93,0,0,14,99,40,3,63,24,92,99,99,23,68,99,99,0,0,35,0,25,0,51,24,99,92,65,23,59,99,93,0,0,24,0,99,15,59,16,94,99,70,45,51,68,60,0,68,52,0,68,0,65,8,99,99,65,40,68,99,99,0,0,36,10,18,0,72,24,99
B,37,HardRoads,11,7,25,0,0,0,24,40,72,94,88,95,60,49,50,50,50,80,68,50,85,99,47,0,64,55,10,0,0,85,4,99,86,50,10,50,99,97,50,0,36,30,24,3,68,20,95,60,40,21,50,99,65,40,0,39,0,30,3,52,12,60,80,28,11,55,99,98,0,0,46,0,0,12,61,12,99,94,69,71,78,99,23,75,0,51,26,0,0,62,28,97,96,32,13,67,94,70,0,0,60,0,0,0,63,20,90
B,38,FullTines,4,4,9,33,4,0,24,56,70,99,99,99,99,50,50,50,50,95,29,20,50,99,95,0,0,41,0,16,0,91,24,85,95,20,20,50,99,95,0,0,0,0,0,0,116,4,95,95,29,20,50,99,95,0,0,0,0,0,0,59,24,89,95,20,20,50,99,95,0,0,0,0,0,0,60,12,95,95,45,35,78,99,75,0,0,0,0,0,0,59,12,80,96,25,20,67,99,75,0,0,0,0,0,0,4,16,95
B,39,ClaviStuff,17,6,34,33,0,0,12,113,67,99,99,99,99,50,50,50,50,85,65,20,99,99,0,0,99,41,0,0,0,56,4,75,94,20,20,99,85,80,0,85,0,0,0,0,59,12,99,95,29,20,50,99,95,0,0,0,0,8,3,59,20,80,95,25,30,50,99,95,0,0,0,0,0,0,56,16,87,95,29,20,50,99,95,0,0,39,0,5,3,56,8,85,85,25,25,67,99,75,0,0,0,0,0,0,59,16,99
B,40,Clavi,17,14,40,0,0,0,24,57,67,0,0,0,0,50,50,50,50,68,73,0,67,99,86,0,68,32,0,21,0,59,8,82,71,66,58,66,99,96,0,99,32,0,0,0,43,16,74,69,67,28,60,99,90,0,99,32,0,0,0,59,12,81,67,87,0,64,87,86,0,92,32,0,21,0,59,28,85,61,10,2,56,99,93,0,0,32,0,0,0,51,20,82,70,34,28,60,99,90,0,0,32,0,0,0,35,28,99
B,41,Clavecin,1,7,35,0,0,0,24,17,67,99,99,99,99,50,50,50,50,99,64,36,99,92,87,0,74,0,0,36,4,56,0,88,99,26,36,99,92,87,0,99,0,0,12,4,56,8,69,99,68,18,99,92,87,0,85,0,0,0,0,56,0,99,99,35,99,71,99,0,0,0,0,0,0,0,56,8,88,99,35,99,99,99,0,0,0,0,0,0,0,56,0,73,99,35,99,99,99,0,0,0,0,0,0,0,56,8,88
B,42,ClaviPluck,15,7,35,0,0,0,24,48,67,99,99,99,99,50,50,50,50,99,55,50,55,99,95,0,0,39,14,0,4,62,28,90,95,52,33,58,99,95,0,0,0,0,0,4,61,12,80,95,35,13,57,99,95,0,0,0,0,40,4,42,24,80,99,58,39,99,99,95,0,0,53,40,0,5,59,24,90,99,28,39,10,99,85,0,0,0,0,0,4,58,16,90,80,38,25,53,99,95,0,0,0,0,0,0,60,16,99
